dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,min_o3_rmse_DU,min_o3_mse_skill_vs_climatology,min_o3_correlation,min_o3_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,3,01-03,57,DYN_COUPLED,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.2516698545749465,0.1878903244843193,0.4524470376397926,9.719560730440843e-12,6.776693449958878,0.07649933225940175,0.3269010549561395,1.7185519456122558e-06,0.6412019353195824,0.20831300427665453,-0.11463636423814694,0.29411764705882354,0.23376623376623376,0.29411764705882354,15,36,118,36,205,51,False
B2000WCN001002,3,01-03,57,DYN_COUPLED,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.220520415620159,0.19485214992323385,0.46060753267318594,3.675215651285487e-12,6.688237472944146,0.10045083940563515,0.3549612138506032,1.7675993155774556e-07,0.6096256684491979,0.19895113086258773,-0.0645430703463521,0.3137254901960784,0.22727272727272727,0.3137254901960784,16,35,119,35,205,51,False
B2000WCN001002,3,01-03,57,DYN_PLUS_PASSIVE_TRACER,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",6.678791800201946,0.31113447961938,0.5631976430291192,1.4923937457360736e-18,6.241226194496725,0.21667609877191585,0.472686069098393,8.302684536096639e-13,0.7159409218232747,0.16756313251204027,0.10340709908091517,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,3,01-03,57,DYN_PLUS_PASSIVE_TRACER,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",6.988184952629512,0.24583318516197472,0.5005830712494619,2.120675266081085e-14,6.55230282679736,0.13664490770362525,0.38678407140548365,1.0128347488058693e-08,0.6838553603259485,0.1972354168815289,-0.055362667996721626,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,3,01-03,57,DYN_PLUS_PASSIVE_TRACER,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean,EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend,O3_short_mean,O3_short_trend",7.021487449177905,0.23862802881716216,0.4958255500068932,4.0590528879143745e-14,6.421717935922165,0.1707146659688631,0.42446829491315097,2.256517783447448e-10,0.6757066462948815,0.18567648578960785,0.006486590869840825,0.39215686274509803,0.2012987012987013,0.39215686274509803,20,31,123,31,205,51,False
B2000WCN001002,4,01-04,56,VORTEX_STATE,linear_l2,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.019157877997557,0.23913315710587368,0.48903485337359975,1.0078056853464978e-13,6.436372932674335,0.16692532443382013,0.40858779476920754,1.1879649781993163e-09,0.7089381207028266,0.1692183313585373,0.09455049970174045,0.47058823529411764,0.17532467532467533,0.47058823529411764,24,27,127,27,205,51,False
B2000WCN001002,4,01-04,56,VORTEX_STATE,random_forest,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.238446115359474,0.19084945945420162,0.4524497676957163,9.71644066274534e-12,6.74963078604223,0.08386058740369562,0.3342131511012778,9.706066399305675e-07,0.655589508530685,0.21343201680300178,-0.1420270570596065,0.35294117647058826,0.21428571428571427,0.35294117647058826,18,33,121,33,205,51,False
B2000WCN001002,4,01-04,56,VORTEX_STATE,gradient_boosting,"NAM10_short_mean,NAM50_short_mean,NAM50_short_trend,NAM10_minus_NAM50_short_mean",7.212415247479609,0.19665872220021974,0.4555154401828635,6.763126535847691e-12,6.7141793246773585,0.09345909367784166,0.34210660893725603,5.151410218996124e-07,0.6512605042016806,0.18636129599352158,0.002822324404412546,0.4117647058823529,0.19480519480519481,0.4117647058823529,21,30,124,30,205,51,False
B2000WCN001002,4,01-04,56,WAVE_FORCING,linear_l2,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",6.849962218333734,0.27537220374309257,0.5253163874808937,6.136311164443069e-16,6.406828919476953,0.17455567216208723,0.4178158155412892,4.5731282558634224e-10,0.6865291571173924,0.17278680555880105,0.07545639118810621,0.37254901960784315,0.2077922077922078,0.37254901960784315,19,32,122,32,205,51,False
B2000WCN001002,4,01-04,56,WAVE_FORCING,random_forest,"EP2_100hPa_long_mean,EP2_50hPa_long_mean,DIV2_100hPa_long_mean,EP2_100hPa_short_mean,EP2_100hPa_long_trend",7.152185144568047,0.21001993223901871,0.46615506215580904,1.8693822414822227e-12,6.6787235933771925,0.10300819939174433,0.34086582234725904,5.697412564235325e-07,0.6237585943468297,0.213530576394863,-0.14255442742476676,0.27450980392156865,0.24025974025974026,0.27450980392156865,14,37,117,37,205,51,False
