dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label,predictor_set,model_family,pred_MA_O3_loss,pred_MA_O3_min_DU,pred_low25_probability,prob_rank_desc,prob_top25_alarm
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,random_forest,15.256773524325757,88.20129289304836,0.8366724613930273,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,gradient_boosting,14.591547692306657,88.56501867752938,0.8844232182857247,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,linear_l2,12.838001055332906,91.98595045121306,0.7862169756838906,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,random_forest,14.874597122125232,88.19219797663028,0.8718753881066098,1.0,True
BWCN,8,32,02-01,28,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,gradient_boosting,16.145611413484144,86.07604943458179,0.9178004170896932,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,linear_l2,10.413028175394876,93.40234832981346,0.6877752994346161,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,random_forest,11.409480007006175,92.16036650376294,0.8634421255407008,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,VORTEX_STATE,gradient_boosting,9.620578465896811,94.36691890975466,0.7861166614442596,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,linear_l2,8.523255933695614,95.04932496051296,0.5645235838378826,5.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,random_forest,13.70261152937083,89.38698149301057,0.8253050492068656,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,WAVE_FORCING,gradient_boosting,13.686504222787937,89.10095785854108,0.8272234332200136,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,linear_l2,10.190949426697633,94.11495423101015,0.6238599920682462,2.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,random_forest,14.97471477193741,88.37649530362506,0.8159452886364983,2.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,DYN_COUPLED,gradient_boosting,13.816803264579898,88.70982827754736,0.8823267887251128,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,linear_l2,12.605352096030241,92.26165515206756,0.7845658618446162,1.0,True
BWCN,8,33,02-02,27,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_PASSIVE_TRACER,random_forest,14.786702742874857,88.79001056884609,0.8800561932510236,1.0,True
