pair_id,our_year,marina_year,our_o3_rm5_min_DU,marina_o3_rm5_min_DU,our_fwd50_doy,marina_fwd50_doy,rm5_low25_membership,is_our_rm5_low25,is_marina_rm5_low25,valid_for_rm5_o3_low25
154,164,154,99.23636169433594,118.24365416229517,99.0,98.0,not LOW25,False,False,True
155,165,155,89.37544555664063,109.5879775531159,127.0,126.0,both LOW25,True,True,True
156,166,156,98.37938842773437,116.34368705034474,109.0,108.0,Marina-only LOW25,False,True,True
157,167,157,102.49046325683594,123.69103920907848,121.0,120.0,not LOW25,False,False,True
158,168,158,103.04201049804688,122.78165685728396,90.0,89.0,not LOW25,False,False,True
159,169,159,98.94485626220703,119.0566189264999,96.0,95.0,not LOW25,False,False,True
160,170,160,95.50318908691406,116.99344383287387,113.0,112.0,both LOW25,True,True,True
161,171,161,89.24793395996093,107.57424082809162,126.0,125.0,both LOW25,True,True,True
162,172,162,109.45469207763672,131.070457857589,121.0,120.0,not LOW25,False,False,True
163,173,163,105.00064392089844,124.67598462793086,125.0,124.0,not LOW25,False,False,True
164,174,164,85.06962280273437,105.09667579368742,129.0,128.0,both LOW25,True,True,True
165,175,165,97.37298583984375,115.02734163042945,122.0,121.0,both LOW25,True,True,True
166,176,166,104.92835845947266,124.86118189949026,106.0,105.0,not LOW25,False,False,True
167,177,167,101.218359375,122.0268017879515,130.0,129.0,not LOW25,False,False,True
168,178,168,99.0289291381836,117.62038063589392,102.0,101.0,not LOW25,False,False,True
169,179,169,104.99094848632812,127.34759498327229,104.0,103.0,not LOW25,False,False,True
170,180,170,105.59553680419921,124.692519626167,122.0,121.0,not LOW25,False,False,True
171,181,171,105.74048461914063,126.77184077191774,115.0,114.0,not LOW25,False,False,True
172,182,172,95.88935546875,113.77268834567721,141.0,140.0,both LOW25,True,True,True
173,183,173,105.59303741455078,126.45442785077356,118.0,117.0,not LOW25,False,False,True
174,184,174,103.84712982177734,122.17012156745439,112.0,111.0,not LOW25,False,False,True
175,185,175,95.64710540771485,115.45500109825623,123.0,122.0,both LOW25,True,True,True
176,186,176,101.01029357910156,123.25991158710481,104.0,103.0,not LOW25,False,False,True
177,187,177,99.8530059814453,118.3946802078966,95.0,94.0,not LOW25,False,False,True
178,188,178,110.0443618774414,131.63926029619319,118.0,117.0,not LOW25,False,False,True
179,189,179,96.92652282714843,115.8070464643557,93.0,92.0,both LOW25,True,True,True
180,190,180,109.96512298583984,132.06098038661062,136.0,135.0,not LOW25,False,False,True
181,191,181,108.16740570068359,128.31153931088153,121.0,120.0,not LOW25,False,False,True
182,192,182,105.65686645507813,125.72989364791762,107.0,106.0,not LOW25,False,False,True
183,193,183,105.88165130615235,127.42133169106911,99.0,98.0,not LOW25,False,False,True
184,194,184,95.61400909423828,114.41732122025851,134.0,133.0,both LOW25,True,True,True
185,195,185,96.87654418945313,118.30217081318503,136.0,135.0,Our-only LOW25,True,False,True
186,196,186,98.94861450195313,118.74305171472226,130.0,129.0,not LOW25,False,False,True
187,197,187,95.02669372558594,116.57692891427156,123.0,122.0,both LOW25,True,True,True
188,198,188,101.97088623046875,120.93969091098263,99.0,98.0,not LOW25,False,False,True
189,199,189,110.08941650390625,130.49632670647742,124.0,123.0,not LOW25,False,False,True
190,200,190,111.42669982910157,132.73054328925775,130.0,129.0,not LOW25,False,False,True
191,201,191,103.06405334472656,123.02006406891465,112.0,112.0,not LOW25,False,False,True
192,202,192,105.6089096069336,128.39512710175265,114.0,113.0,not LOW25,False,False,True
193,203,193,100.978466796875,119.12291401638699,111.0,110.0,not LOW25,False,False,True
194,204,194,105.25003204345703,126.34345975076896,113.0,112.0,not LOW25,False,False,True
195,205,195,94.68492736816407,113.58102194508508,125.0,124.0,both LOW25,True,True,True
196,206,196,103.65413208007813,124.50226959869971,98.0,97.0,not LOW25,False,False,True
197,207,197,98.10729370117187,119.14965905686887,124.0,123.0,not LOW25,False,False,True
198,208,198,98.88134155273437,118.64412748854217,126.0,125.0,not LOW25,False,False,True
199,209,199,111.1801544189453,132.13323208084944,111.0,110.0,not LOW25,False,False,True
200,210,200,103.4025650024414,122.9363483996298,113.0,112.0,not LOW25,False,False,True
