dataset,cutoff_doy,cutoff_label,lead_days_to_Mar1,predictor_set,model_family,features,reg_rmse,reg_mse_skill_vs_climatology,reg_correlation,reg_correlation_pvalue,cls_roc_auc,cls_brier_score,cls_brier_skill_vs_climatology,top25_hit_rate,top25_false_alarm_rate,top25_precision,top25_tp,top25_fp,top25_tn,top25_fn,n_samples,n_events,usable_predictability
B2000WCN001002,18,01-18,42,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.437057180819823,0.3600981421170566,0.6002011443175574,1.8893480208611452e-21,0.752864782276547,0.15910897499181037,0.14864340794107067,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,18,01-18,42,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.540526279815014,0.3393612754668396,0.5828971866876991,4.755183216005435e-20,0.7333842627960275,0.1877560636221782,-0.0046407656890805615,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,18,01-18,42,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",6.064606679411551,0.43200577920886163,0.6572946906839785,9.787976050120055e-27,0.8091418385536032,0.1479621474476676,0.20828759275678232,0.5098039215686274,0.16233766233766234,0.5098039215686274,26,25,129,25,205,51,False
B2000WCN001002,18,01-18,42,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.199957389217502,0.40636971852339454,0.6406750018594516,4.413589604512051e-25,0.783868092691622,0.1729393006611051,0.07464042395175174,0.49019607843137253,0.16883116883116883,0.49019607843137253,25,26,128,26,205,51,False
B2000WCN001002,18,01-18,42,DYN_PLUS_O3,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.033876200953111,0.437747457741797,0.6617581036759286,3.376704480110081e-27,0.7918258212375859,0.15200544341232775,0.186652819021763,0.49019607843137253,0.16883116883116883,0.49019607843137253,25,26,128,26,205,51,False
B2000WCN001002,18,01-18,42,DYN_PLUS_O3,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,O3_short_mean,O3_short_trend",6.099468187552915,0.42545694655648436,0.6531491594807566,2.5882335380774776e-26,0.7792207792207793,0.17054765616016138,0.08743757956063392,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,19,01-19,41,DYN,linear,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.394313203608213,0.36856820448123295,0.6072379726258266,4.808678623807583e-22,0.7580850522026993,0.15850177712846947,0.15189238810492367,0.45098039215686275,0.18181818181818182,0.45098039215686275,23,28,126,28,205,51,False
B2000WCN001002,19,01-19,41,DYN,random_forest,"NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean",6.620804441742796,0.32304444280608546,0.5700629607626988,4.609086157140671e-19,0.7332569391392921,0.1874345234361542,-0.002920275961851182,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
B2000WCN001002,19,01-19,41,O3_MEMORY,linear,"O3_short_mean,O3_short_trend",6.01936863913449,0.4404479133686038,0.6636791559686499,2.1238258631951867e-27,0.8104150751209575,0.14675357536569136,0.21475439206223845,0.5490196078431373,0.14935064935064934,0.5490196078431373,28,23,131,23,205,51,False
B2000WCN001002,19,01-19,41,O3_MEMORY,random_forest,"O3_short_mean,O3_short_trend",6.183034311828084,0.4096059796710171,0.644260926600958,1.979443595532406e-25,0.765215176979883,0.17820958301826492,0.046440320048054096,0.43137254901960786,0.18831168831168832,0.43137254901960786,22,29,125,29,205,51,False
