dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label,predictor_set,model_family,pred_MA_O3_loss,pred_low25_probability,prob_rank_desc,prob_top25_alarm
BWCN,8,18,01-18,42,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.667822914466234,0.7698813128484876,1.0,True
BWCN,8,19,01-19,41,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,9.647415973904511,0.6491567304035057,2.0,True
BWCN,8,19,01-19,41,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,8.988087240290488,0.7534155470491812,4.0,True
BWCN,8,19,01-19,41,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.6112812577469775,0.5835270503637052,2.0,True
BWCN,8,19,01-19,41,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,10.042845251310359,0.7977412695240479,2.0,True
BWCN,8,19,01-19,41,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,9.488219212315922,0.6700266446322624,2.0,True
BWCN,8,19,01-19,41,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,12.32264028502817,0.7920158049449404,1.0,True
BWCN,8,20,01-20,40,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,9.583659003146053,0.646880095660951,2.0,True
BWCN,8,20,01-20,40,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,8.274846666009212,0.7959008384379251,1.0,True
BWCN,8,20,01-20,40,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,7.814016640744479,0.5972346684316867,2.0,True
BWCN,8,20,01-20,40,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,8.988609813951506,0.7758385683122545,2.0,True
BWCN,8,20,01-20,40,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,9.584684990651283,0.676314658176783,2.0,True
BWCN,8,20,01-20,40,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,random_forest,11.663865518485721,0.8323101560137403,1.0,True
BWCN,8,21,01-21,39,26.02682973001144,73.43604278564453,106,1.0,1,DYN,linear,9.800002159545686,0.6566803824838948,2.0,True
BWCN,8,21,01-21,39,26.02682973001144,73.43604278564453,106,1.0,1,DYN,random_forest,8.584992569023136,0.7555741533818594,5.0,True
BWCN,8,21,01-21,39,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,linear,8.039867163360134,0.6113424557533035,2.0,True
BWCN,8,21,01-21,39,26.02682973001144,73.43604278564453,106,1.0,1,O3_MEMORY,random_forest,11.32374446606767,0.8227538843498337,2.0,True
BWCN,8,21,01-21,39,26.02682973001144,73.43604278564453,106,1.0,1,DYN_PLUS_O3,linear,9.825770222079123,0.6895882941753597,2.0,True
