dataset,year,cutoff_doy,cutoff_label,lead_days_to_Mar1,short_window_start_abs,short_window_end_abs,long_window_start_abs,long_window_end_abs,O3_short_mean,O3_short_trend,NAM50_short_mean,NAM50_short_trend,EP2_100hPa_40_80N_long_mean,MA_O3_loss,MA_O3_min_DU,MA_O3_min_doy,low_o3_rank,Low25_min_label
BWCN,8,17,01-17,43,2545,2572,2483,2572,-7.904336906285677,-0.00037711148166331683,2.860723351098818,0.07837483011539535,-0.001998969835095126,26.02682973001144,73.43604278564453,106,1.0,1
BWCN,9,17,01-17,43,2910,2937,2848,2937,1.355777818009802,0.260276367916449,-0.5858472545159705,-0.07550097200976176,-0.003269763188482969,-8.84545393037694,106.20907440185547,120,19.0,0
BWCN,10,17,01-17,43,3275,3302,3213,3302,-6.233952744472759,0.10528852575543446,1.3115003947098118,0.05012087313192573,-0.002404738697625866,-10.245587607374892,105.58467712402344,120,18.0,0
BWCN,11,17,01-17,43,3640,3667,3578,3667,0.8696657683620624,0.005092355522737785,-0.7476002911545361,-0.03203887104027627,-0.002574432039675499,-6.232660261223507,107.15471649169922,120,20.0,0
BWCN,12,17,01-17,43,4005,4032,3943,4032,7.225533753678747,0.3090227640193127,-0.8406647982991896,-0.10895251398004094,-0.002712662906136266,-7.000462765465949,108.03871307373046,120,21.0,0
BWCN,13,17,01-17,43,4370,4397,4308,4397,-4.279383772566368,0.13890015660077848,2.2360204221464737,-0.007521736471826136,-0.002117958237345108,14.987227719253246,83.27454986572266,109,2.0,1
BWCN,14,17,01-17,43,4735,4762,4673,4762,-1.791705408221363,-0.14461310474848663,0.3693990741664771,-0.044091384168877916,-0.0024349641119798585,8.500402582974749,89.38094482421874,95,5.0,1
BWCN,15,17,01-17,43,5100,5127,5038,5127,-4.489124220564415,-0.15408662583023683,0.5751767330758867,0.08681287462633783,-0.002322091116044691,3.308877464506513,96.6460189819336,88,8.0,0
BWCN,16,17,01-17,43,5465,5492,5403,5492,1.5023512389431168,-0.27564876803794175,1.4174146078643286,0.04006786718013122,-0.0021964158895830545,-5.014435888985098,100.64898681640625,120,13.0,0
BWCN,17,17,01-17,43,5830,5857,5768,5857,-4.795520759435088,0.0864164320578172,0.5416699555847446,-0.016635499485474797,-0.002412858842112057,5.278286043848214,93.28086853027344,84,7.0,0
BWCN,18,17,01-17,43,6195,6222,6133,6222,0.27723320131058365,0.20528818458327627,1.8228011457585398,-0.051761719331529496,-0.0024772307476373864,-6.254686798508984,103.8860580444336,120,17.0,0
BWCN,19,17,01-17,43,6560,6587,6498,6587,-9.240658491804652,-0.25118574795961357,2.5495217002646577,-0.02199422863933625,-0.0017119890389254097,13.566131392769194,85.98907928466797,89,3.0,1
BWCN,20,17,01-17,43,6925,6952,6863,6952,6.123211202496409,0.09395164929286232,-0.7932732443331775,-0.07210966995930092,-0.0034400989044155654,-12.835798894076031,108.7208969116211,120,22.0,0
BWCN,21,17,01-17,43,7290,7317,7228,7317,2.772240852503386,-0.0614127563135792,1.787842192507572,0.04536911989552188,-0.0023166291849249197,-0.4871370648624031,100.07074127197265,113,11.0,0
BWCN,22,17,01-17,43,7655,7682,7593,7682,1.2808750927900756,-0.12221356320369005,-0.04624357672100916,0.08481977094946658,-0.0022981401428758654,6.733812502088159,91.68306732177734,120,6.0,0
BWCN,23,17,01-17,43,8020,8047,7958,8047,4.461780298652938,-0.17131655478491403,0.4474994630316046,0.09674904150949441,-0.002417101810826178,0.27405210509949457,100.33548431396484,114,12.0,0
BWCN,2,18,01-18,42,356,383,294,383,-1.4565682056445428,-0.07773891365648002,2.2852847031692485,0.0030439153088050474,-0.001885667886107835,1.7373017619018132,97.39088745117188,98,9.0,0
BWCN,3,18,01-18,42,721,748,659,748,-2.633063239998617,0.12431734138134237,1.9931684847230837,0.04138641950529211,-0.0021215539905211685,11.077120497493517,88.2921371459961,120,4.0,1
BWCN,4,18,01-18,42,1086,1113,1024,1113,-4.454004456603666,-0.19991858456975029,-0.3054201307310148,0.009698396404136575,-0.0025585751000070946,-1.406564004779796,99.58116302490234,118,10.0,0
BWCN,5,18,01-18,42,1451,1478,1389,1478,-0.4006816917982806,0.07569225181634298,-0.6336391928329539,-0.07478514447527784,-0.0031545635377269268,-7.391868064918436,102.55701293945313,120,15.0,0
BWCN,6,18,01-18,42,1816,1843,1754,1843,8.03773656032923,0.42371222975549155,-1.0193167913628298,-0.1582954194248868,-0.003316691124038075,-12.775030316375275,109.4763900756836,120,23.0,0
BWCN,7,18,01-18,42,2181,2208,2119,2208,7.1874341093317415,-0.23477941915184905,-1.4997909478793445,0.0768388382632952,-0.0028495870854184416,-10.188913212923685,102.39976501464844,120,14.0,0
BWCN,8,18,01-18,42,2546,2573,2484,2573,-7.963513352477689,-0.010219171272277595,2.9505270508135815,0.07183625814002627,-0.0020025661163956977,26.02682973001144,73.43604278564453,106,1.0,1
BWCN,9,18,01-18,42,2911,2938,2849,2938,1.5801660211272197,0.31612777390311864,-0.6226547393241374,-0.08443311563901584,-0.0032636629442608397,-8.84545393037694,106.20907440185547,120,19.0,0
BWCN,10,18,01-18,42,3276,3303,3214,3303,-5.933270051086089,0.1745097328296323,1.3281650936315619,0.03184346332753641,-0.00250079841235737,-10.245587607374892,105.58467712402344,120,18.0,0
BWCN,11,18,01-18,42,3641,3668,3579,3668,0.933838266697812,-0.00031410582869284835,-0.771671217383861,-0.018880649397492417,-0.002577349578817524,-6.232660261223507,107.15471649169922,120,20.0,0
BWCN,12,18,01-18,42,4006,4033,3944,4033,7.4722422409584155,0.27384737485413135,-0.8922739335645495,-0.11035397156214197,-0.0026969058983887127,-7.000462765465949,108.03871307373046,120,21.0,0
BWCN,13,18,01-18,42,4371,4398,4309,4398,-4.295739588003637,0.11730916246996119,2.241865510082141,-0.007555654965534952,-0.002091543276628837,14.987227719253246,83.27454986572266,109,2.0,1
BWCN,14,18,01-18,42,4736,4763,4674,4763,-1.9267259379269082,-0.1361036022562484,0.3614057476664502,-0.04105925989914726,-0.0024345024171299173,8.500402582974749,89.38094482421874,95,5.0,1
BWCN,15,18,01-18,42,5101,5128,5039,5128,-4.5401371056166395,-0.12193904292272711,0.6160657654916906,0.09893152739434939,-0.002336670459715929,3.308877464506513,96.6460189819336,88,8.0,0
BWCN,16,18,01-18,42,5466,5493,5404,5493,1.2521174240638828,-0.3036636004495813,1.451132904482684,0.036903167055435594,-0.0021997986915843356,-5.014435888985098,100.64898681640625,120,13.0,0
BWCN,17,18,01-18,42,5831,5858,5769,5858,-4.759619908961365,0.04654321209946072,0.5515778452133561,-0.010713255071933336,-0.002424497737827862,5.278286043848214,93.28086853027344,84,7.0,0
